Rays (0),14 (26),25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamondbacks (1),15 (22),21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angels (1),16 (21),20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlins (2),17 (20),19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,5,4,3,2,1,0,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Sox (3),18 (18),17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,10,9,8,7,6,5,4,3,2,1,0,2*,1*
Phillies (2),19 (15),14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,76*,75*,74*,73*,72*,71*,70*,69*,68*,67*,66*,65*,64*,63*,62*,61*,60*,59*,58*,57*,56*,55*,54*,53*,52*,51*,50*,49*,48*,47*,46*,45*,44*,43*,42*,41*,40*,39*,38*,37*,36*,35*,34*,33*,32*,31*,30*,29*,28*,27*,26*,25*,24*,23*,22*,21*,20*,19*,18*,17*,16*,15*,14*,13*,12*,11*,10*,9*,8*,7*,6*,5*,4*,3*,2*,1*
Yankees (27),20 (14),13,12,11,10,9,8,7,6,5,4,3,2,1,0,8,7,6,5,4,3,2,1,0,0,0,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,2,1,0,1,0,2,1,0,0,0,0,0,1,0,3,2,1,0,1,0,1,0,0,0,0,3,2,1,0,3,2,1,0,0,3,2,1,0,19*,18*,17*,16*,15*,14*,13*,12*,11*,10*,9*,8*,7*,6*,5*,4*,3*,2*,1*
Cardinals (11),21 (12),11,10,9,8,7,6,5,4,3,2,1,0,4,3,2,1,0,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,2,1,0,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,0,1,0,7,6,5,4,3,2,1,0,2,1,0,4,3,2,1,0,22*,21*,20*,19*,18*,17*,16*,15*,14*,13*,12*,11*,10*,9*,8*,7*,6*,5*,4*,3*,2*,1*
Giants (8),22 (9),8,7,6,5,4,3,2,1,0,1,1,1,0,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,10,9,8,7,6,5,4,3,2,1,0,0,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1*
Royals (2),23 (8),7,6,5,4,3,2,1,0,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cubs (3),24 (7),6,5,4,3,2,1,0,106**,105*,104*,103*,102*,101*,100*,99*,98*,97*,96*,95*,94*,93*,92*,91*,90*,89*,88*,87*,86*,85*,84*,83*,82*,81*,80*,79*,78*,77*,76*,75*,74*,73*,72*,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,3*,2*,1*
Red Sox (9),25 (5),4,3,2,1,0,4,3,2,1,0,5,4,3,2,1,0,2,1,0,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,0,0,2,1,0,7,6,5,4,3,2,1,0
Nationals (1),26 (4),3,2,1,0,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodgers (7),27 (3),2,1,0,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,6,5,4,3,2,1,0,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,0,3,2,1,0,3,2,1,0,51*,50*,49*,48*,47*,46*,45*,44*,43*,42*,41*,40*,39*,38*,37*,36*,35*,34*,33*,32*,31*,30*,29*,28*,27*,26*,25*,24*,23*,22*,21*,20*,19*,18*,17*,16*,15*,14*,13*,12*,11*,10*,9*,8*,7*,6*,5*,4*,3*,2*,1*
Braves (4),28 (2),1,0,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,10*,9*,8*,7*,6*,5*,4*,3*,2*,1*
Astros (2),29 (1),0,4,3,2,1,0,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers (1),30 (0),61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
